date,project,visits,wday
2017-01-01,fr.wikipedia.org,7394.0,6
2017-01-02,fr.wikipedia.org,7520.0,0
2017-01-03,fr.wikipedia.org,6791.0,1
2017-01-04,fr.wikipedia.org,8459.0,2
2017-01-05,fr.wikipedia.org,10661.0,3
2017-01-06,fr.wikipedia.org,22066.0,4
2017-01-07,fr.wikipedia.org,7795.0,5
2017-01-08,fr.wikipedia.org,8446.0,6
2017-01-09,fr.wikipedia.org,14037.0,0
2017-01-10,fr.wikipedia.org,7355.0,1
2017-01-11,fr.wikipedia.org,6678.0,2
2017-01-12,fr.wikipedia.org,9112.0,3
2017-01-13,fr.wikipedia.org,8918.0,4
2017-01-14,fr.wikipedia.org,8452.0,5
2017-01-15,fr.wikipedia.org,10593.0,6
2017-01-16,fr.wikipedia.org,9673.0,0
2017-01-17,fr.wikipedia.org,8253.0,1
2017-01-18,fr.wikipedia.org,7643.0,2
2017-01-19,fr.wikipedia.org,9608.0,3
2017-01-20,fr.wikipedia.org,6531.0,4
2017-01-21,fr.wikipedia.org,7184.0,5
2017-01-22,fr.wikipedia.org,9270.0,6
2017-01-23,fr.wikipedia.org,6812.0,0
2017-01-24,fr.wikipedia.org,7427.0,1
2017-01-25,fr.wikipedia.org,8271.0,2
2017-01-26,fr.wikipedia.org,8269.0,3
2017-01-27,fr.wikipedia.org,7042.0,4
2017-01-28,fr.wikipedia.org,7079.0,5
2017-01-29,fr.wikipedia.org,9028.0,6
2017-01-30,fr.wikipedia.org,6558.0,0
2017-01-31,fr.wikipedia.org,7336.0,1
2017-02-01,fr.wikipedia.org,9551.0,2
2017-02-02,fr.wikipedia.org,8991.0,3
2017-02-03,fr.wikipedia.org,6030.0,4
2017-02-04,fr.wikipedia.org,6629.0,5
2017-02-05,fr.wikipedia.org,14038.0,6
2017-02-06,fr.wikipedia.org,8101.0,0
2017-02-07,fr.wikipedia.org,6694.0,1
2017-02-08,fr.wikipedia.org,7184.0,2
2017-02-09,fr.wikipedia.org,13612.0,3
2017-02-10,fr.wikipedia.org,6281.0,4
2017-02-11,fr.wikipedia.org,10011.0,5
2017-02-12,fr.wikipedia.org,11074.0,6
2017-02-13,fr.wikipedia.org,7850.0,0
2017-02-14,fr.wikipedia.org,9685.0,1
2017-02-15,fr.wikipedia.org,33559.0,2
2017-02-16,fr.wikipedia.org,64253.0,3
2017-02-17,fr.wikipedia.org,24310.0,4
2017-02-18,fr.wikipedia.org,46162.0,5
2017-02-19,fr.wikipedia.org,17262.0,6
2017-02-20,fr.wikipedia.org,9033.0,0
2017-02-21,fr.wikipedia.org,7501.0,1
2017-02-22,fr.wikipedia.org,8175.0,2
2017-02-23,fr.wikipedia.org,14673.0,3
2017-02-24,fr.wikipedia.org,14134.0,4
2017-02-25,fr.wikipedia.org,7219.0,5
2017-02-26,fr.wikipedia.org,7890.0,6
2017-02-27,fr.wikipedia.org,6898.0,0
2017-02-28,fr.wikipedia.org,8025.0,1
2017-03-01,fr.wikipedia.org,9947.0,2
2017-03-02,fr.wikipedia.org,12954.0,3
2017-03-03,fr.wikipedia.org,18198.0,4
2017-03-04,fr.wikipedia.org,15825.0,5
2017-03-05,fr.wikipedia.org,15329.0,6
2017-03-06,fr.wikipedia.org,10005.0,0
2017-03-07,fr.wikipedia.org,9150.0,1
2017-03-08,fr.wikipedia.org,16920.0,2
2017-03-09,fr.wikipedia.org,16836.0,3
2017-03-10,fr.wikipedia.org,17117.0,4
2017-03-11,fr.wikipedia.org,11540.0,5
2017-03-12,fr.wikipedia.org,20673.0,6
2017-03-13,fr.wikipedia.org,20263.0,0
2017-03-14,fr.wikipedia.org,19489.0,1
2017-03-15,fr.wikipedia.org,15076.0,2
2017-03-16,fr.wikipedia.org,11637.0,3
2017-03-17,fr.wikipedia.org,16522.0,4
2017-03-18,fr.wikipedia.org,20321.0,5
2017-03-19,fr.wikipedia.org,16146.0,6
2017-03-20,fr.wikipedia.org,16844.0,0
2017-03-21,fr.wikipedia.org,14897.0,1
2017-03-22,fr.wikipedia.org,11983.0,2
2017-03-23,fr.wikipedia.org,9589.0,3
2017-03-24,fr.wikipedia.org,7913.0,4
2017-03-25,fr.wikipedia.org,8237.0,5
2017-03-26,fr.wikipedia.org,7999.0,6
2017-03-27,fr.wikipedia.org,11242.0,0
2017-03-28,fr.wikipedia.org,11682.0,1
2017-03-29,fr.wikipedia.org,8481.0,2
2017-03-30,fr.wikipedia.org,7885.0,3
2017-03-31,fr.wikipedia.org,8030.0,4
2017-04-01,fr.wikipedia.org,8123.0,5
2017-04-02,fr.wikipedia.org,9858.0,6
2017-04-03,fr.wikipedia.org,6874.0,0
2017-04-04,fr.wikipedia.org,9399.0,1
2017-04-05,fr.wikipedia.org,6592.0,2
2017-04-06,fr.wikipedia.org,11544.0,3
2017-04-07,fr.wikipedia.org,7956.0,4
2017-04-08,fr.wikipedia.org,6508.0,5
2017-04-09,fr.wikipedia.org,7130.0,6
2017-04-10,fr.wikipedia.org,9655.0,0
2017-04-11,fr.wikipedia.org,7883.0,1
2017-04-12,fr.wikipedia.org,6052.0,2
2017-04-13,fr.wikipedia.org,6145.0,3
2017-04-14,fr.wikipedia.org,7282.0,4
2017-04-15,fr.wikipedia.org,11995.0,5
2017-04-16,fr.wikipedia.org,11116.0,6
2017-04-17,fr.wikipedia.org,7314.0,0
2017-04-18,fr.wikipedia.org,7140.0,1
2017-04-19,fr.wikipedia.org,11667.0,2
2017-04-20,fr.wikipedia.org,7295.0,3
2017-04-21,fr.wikipedia.org,7928.0,4
2017-04-22,fr.wikipedia.org,6280.0,5
2017-04-23,fr.wikipedia.org,7791.0,6
2017-04-24,fr.wikipedia.org,7613.0,0
2017-04-25,fr.wikipedia.org,7307.0,1
2017-04-26,fr.wikipedia.org,6651.0,2
2017-04-27,fr.wikipedia.org,10699.0,3
2017-04-28,fr.wikipedia.org,6627.0,4
2017-04-29,fr.wikipedia.org,8529.0,5
2017-04-30,fr.wikipedia.org,10512.0,6
2017-05-01,fr.wikipedia.org,9521.0,0
2017-05-02,fr.wikipedia.org,10308.0,1
2017-05-03,fr.wikipedia.org,10731.0,2
2017-05-04,fr.wikipedia.org,7733.0,3
2017-05-05,fr.wikipedia.org,14055.0,4
2017-05-06,fr.wikipedia.org,10897.0,5
2017-05-07,fr.wikipedia.org,11491.0,6
2017-05-08,fr.wikipedia.org,13398.0,0
2017-05-09,fr.wikipedia.org,14094.0,1
2017-05-10,fr.wikipedia.org,12048.0,2
2017-05-11,fr.wikipedia.org,16435.0,3
2017-05-12,fr.wikipedia.org,7810.0,4
2017-05-13,fr.wikipedia.org,7812.0,5
2017-05-14,fr.wikipedia.org,6641.0,6
2017-05-15,fr.wikipedia.org,8661.0,0
2017-05-16,fr.wikipedia.org,7147.0,1
2017-05-17,fr.wikipedia.org,8327.0,2
2017-05-18,fr.wikipedia.org,7733.0,3
2017-05-19,fr.wikipedia.org,7469.0,4
2017-05-20,fr.wikipedia.org,6559.0,5
2017-05-21,fr.wikipedia.org,9779.0,6
2017-05-22,fr.wikipedia.org,15633.0,0
2017-05-23,fr.wikipedia.org,7433.0,1
2017-05-24,fr.wikipedia.org,8306.0,2
2017-05-25,fr.wikipedia.org,6439.0,3
2017-05-26,fr.wikipedia.org,6972.0,4
2017-05-27,fr.wikipedia.org,7878.0,5
2017-05-28,fr.wikipedia.org,6930.0,6
2017-05-29,fr.wikipedia.org,10249.0,0
2017-05-30,fr.wikipedia.org,9221.0,1
2017-05-31,fr.wikipedia.org,8018.0,2
2017-06-01,fr.wikipedia.org,7530.0,3
2017-06-02,fr.wikipedia.org,7647.0,4
2017-06-03,fr.wikipedia.org,17530.0,5
2017-06-04,fr.wikipedia.org,6924.0,6
2017-06-05,fr.wikipedia.org,7781.0,0
2017-06-06,fr.wikipedia.org,11347.0,1
2017-06-07,fr.wikipedia.org,26652.0,2
2017-06-08,fr.wikipedia.org,44068.0,3
2017-06-09,fr.wikipedia.org,58073.0,4
2017-06-10,fr.wikipedia.org,25528.0,5
2017-06-11,fr.wikipedia.org,7025.0,6
2017-06-12,fr.wikipedia.org,8571.0,0
2017-06-13,fr.wikipedia.org,6130.0,1
2017-06-14,fr.wikipedia.org,4869.0,2
2017-06-15,fr.wikipedia.org,7783.0,3
2017-06-16,fr.wikipedia.org,5637.0,4
2017-06-17,fr.wikipedia.org,19463.0,5
2017-06-18,fr.wikipedia.org,7180.0,6
2017-06-19,fr.wikipedia.org,10435.0,0
2017-06-20,fr.wikipedia.org,7661.0,1
2017-06-21,fr.wikipedia.org,8066.0,2
2017-06-22,fr.wikipedia.org,7278.0,3
2017-06-23,fr.wikipedia.org,7094.0,4
2017-06-24,fr.wikipedia.org,7713.0,5
2017-06-25,fr.wikipedia.org,10984.0,6
2017-06-26,fr.wikipedia.org,15733.0,0
2017-06-27,fr.wikipedia.org,15719.0,1
2017-06-28,fr.wikipedia.org,14975.0,2
2017-06-29,fr.wikipedia.org,9328.0,3
2017-06-30,fr.wikipedia.org,6209.0,4
2017-07-01,fr.wikipedia.org,5351.0,5
2017-07-02,fr.wikipedia.org,5240.0,6
2017-07-03,fr.wikipedia.org,4854.0,0
2017-07-04,fr.wikipedia.org,5133.0,1
2017-07-05,fr.wikipedia.org,5293.0,2
2017-07-06,fr.wikipedia.org,5166.0,3
2017-07-07,fr.wikipedia.org,6629.0,4
2017-07-08,fr.wikipedia.org,5618.0,5
2017-07-09,fr.wikipedia.org,5709.0,6
2017-07-10,fr.wikipedia.org,6851.0,0
2017-07-11,fr.wikipedia.org,6828.0,1
2017-07-12,fr.wikipedia.org,5270.0,2
2017-07-13,fr.wikipedia.org,7474.0,3
2017-07-14,fr.wikipedia.org,4423.0,4
2017-07-15,fr.wikipedia.org,5424.0,5
2017-07-16,fr.wikipedia.org,8118.0,6
2017-07-17,fr.wikipedia.org,6606.0,0
2017-07-18,fr.wikipedia.org,11861.0,1
2017-07-19,fr.wikipedia.org,11461.0,2
2017-07-20,fr.wikipedia.org,8075.0,3
2017-07-21,fr.wikipedia.org,5065.0,4
2017-07-22,fr.wikipedia.org,12687.0,5
2017-07-23,fr.wikipedia.org,18090.0,6
2017-07-24,fr.wikipedia.org,6840.0,0
2017-07-25,fr.wikipedia.org,6417.0,1
2017-07-26,fr.wikipedia.org,6467.0,2
2017-07-27,fr.wikipedia.org,5887.0,3
2017-07-28,fr.wikipedia.org,5268.0,4
2017-07-29,fr.wikipedia.org,10935.0,5
2017-07-30,fr.wikipedia.org,7836.0,6
2017-07-31,fr.wikipedia.org,5301.0,0
2017-08-01,fr.wikipedia.org,16019.0,1
2017-08-02,fr.wikipedia.org,5463.0,2
2017-08-03,fr.wikipedia.org,5835.0,3
2017-08-04,fr.wikipedia.org,5906.0,4
2017-08-05,fr.wikipedia.org,5913.0,5
2017-08-06,fr.wikipedia.org,7269.0,6
2017-08-07,fr.wikipedia.org,6545.0,0
2017-08-08,fr.wikipedia.org,5524.0,1
2017-08-09,fr.wikipedia.org,8951.0,2
2017-08-10,fr.wikipedia.org,5050.0,3
2017-08-11,fr.wikipedia.org,7507.0,4
2017-08-12,fr.wikipedia.org,4537.0,5
2017-08-13,fr.wikipedia.org,4445.0,6
2017-08-14,fr.wikipedia.org,4763.0,0
2017-08-15,fr.wikipedia.org,7127.0,1
2017-08-16,fr.wikipedia.org,18599.0,2
2017-08-17,fr.wikipedia.org,11625.0,3
2017-08-18,fr.wikipedia.org,16257.0,4
2017-08-19,fr.wikipedia.org,15093.0,5
2017-08-20,fr.wikipedia.org,28995.0,6
2017-08-21,fr.wikipedia.org,34196.0,0
2017-08-22,fr.wikipedia.org,28075.0,1
2017-08-23,fr.wikipedia.org,6263.0,2
2017-08-24,fr.wikipedia.org,10442.0,3
2017-08-25,fr.wikipedia.org,7488.0,4
2017-08-26,fr.wikipedia.org,4514.0,5
2017-08-27,fr.wikipedia.org,9189.0,6
2017-08-28,fr.wikipedia.org,7042.0,0
2017-08-29,fr.wikipedia.org,5848.0,1
2017-08-30,fr.wikipedia.org,8391.0,2
2017-08-31,fr.wikipedia.org,6527.0,3
2017-09-01,fr.wikipedia.org,11494.0,4
2017-09-02,fr.wikipedia.org,6035.0,5
2017-09-03,fr.wikipedia.org,7838.0,6
2017-09-04,fr.wikipedia.org,6964.0,0
2017-09-05,fr.wikipedia.org,10815.0,1
2017-09-06,fr.wikipedia.org,5844.0,2
2017-09-07,fr.wikipedia.org,7791.0,3
2017-09-08,fr.wikipedia.org,6535.0,4
2017-09-09,fr.wikipedia.org,11504.0,5
2017-09-10,fr.wikipedia.org,6072.0,6
2017-01-01,en.wikipedia.org,1226845.0,6
2017-01-02,en.wikipedia.org,1530297.0,0
2017-01-03,en.wikipedia.org,1662209.0,1
2017-01-04,en.wikipedia.org,1643516.0,2
2017-01-05,en.wikipedia.org,1626659.0,3
2017-01-06,en.wikipedia.org,1524185.0,4
2017-01-07,en.wikipedia.org,1367272.0,5
2017-01-08,en.wikipedia.org,1507841.0,6
2017-01-09,en.wikipedia.org,1691979.0,0
2017-01-10,en.wikipedia.org,1705187.0,1
2017-01-11,en.wikipedia.org,1583031.0,2
2017-01-12,en.wikipedia.org,1602450.0,3
2017-01-13,en.wikipedia.org,1504592.0,4
2017-01-14,en.wikipedia.org,1277402.0,5
2017-01-15,en.wikipedia.org,1308612.0,6
2017-01-16,en.wikipedia.org,1582081.0,0
2017-01-17,en.wikipedia.org,1671170.0,1
2017-01-18,en.wikipedia.org,1660948.0,2
2017-01-19,en.wikipedia.org,1649456.0,3
2017-01-20,en.wikipedia.org,1533448.0,4
2017-01-21,en.wikipedia.org,1239583.0,5
2017-01-22,en.wikipedia.org,1376152.0,6
2017-01-23,en.wikipedia.org,1699787.0,0
2017-01-24,en.wikipedia.org,1974428.0,1
2017-01-25,en.wikipedia.org,1847316.0,2
2017-01-26,en.wikipedia.org,1580650.0,3
2017-01-27,en.wikipedia.org,1495443.0,4
2017-01-28,en.wikipedia.org,1295214.0,5
2017-01-29,en.wikipedia.org,1392321.0,6
2017-01-30,en.wikipedia.org,1673112.0,0
2017-01-31,en.wikipedia.org,1689999.0,1
2017-02-01,en.wikipedia.org,1664565.0,2
2017-02-02,en.wikipedia.org,1738720.0,3
2017-02-03,en.wikipedia.org,1646673.0,4
2017-02-04,en.wikipedia.org,1367893.0,5
2017-02-05,en.wikipedia.org,1520816.0,6
2017-02-06,en.wikipedia.org,1727676.0,0
2017-02-07,en.wikipedia.org,1803142.0,1
2017-02-08,en.wikipedia.org,1734058.0,2
2017-02-09,en.wikipedia.org,1696932.0,3
2017-02-10,en.wikipedia.org,1567000.0,4
2017-02-11,en.wikipedia.org,1384024.0,5
2017-02-12,en.wikipedia.org,1440839.0,6
2017-02-13,en.wikipedia.org,1768257.0,0
2017-02-14,en.wikipedia.org,1726418.0,1
2017-02-15,en.wikipedia.org,1821202.0,2
2017-02-16,en.wikipedia.org,1737948.0,3
2017-02-17,en.wikipedia.org,1595097.0,4
2017-02-18,en.wikipedia.org,1540804.0,5
2017-02-19,en.wikipedia.org,1467553.0,6
2017-02-20,en.wikipedia.org,1673834.0,0
2017-02-21,en.wikipedia.org,1733420.0,1
2017-02-22,en.wikipedia.org,1822133.0,2
2017-02-23,en.wikipedia.org,1815247.0,3
2017-02-24,en.wikipedia.org,1884102.0,4
2017-02-25,en.wikipedia.org,1644558.0,5
2017-02-26,en.wikipedia.org,1772224.0,6
2017-02-27,en.wikipedia.org,1828540.0,0
2017-02-28,en.wikipedia.org,1968967.0,1
2017-03-01,en.wikipedia.org,2086954.0,2
2017-03-02,en.wikipedia.org,2201881.0,3
2017-03-03,en.wikipedia.org,2189982.0,4
2017-03-04,en.wikipedia.org,1901653.0,5
2017-03-05,en.wikipedia.org,1865455.0,6
2017-03-06,en.wikipedia.org,1805398.0,0
2017-03-07,en.wikipedia.org,2022595.0,1
2017-03-08,en.wikipedia.org,2070371.0,2
2017-03-09,en.wikipedia.org,2135587.0,3
2017-03-10,en.wikipedia.org,2110020.0,4
2017-03-11,en.wikipedia.org,1851547.0,5
2017-03-12,en.wikipedia.org,1835200.0,6
2017-03-13,en.wikipedia.org,2048273.0,0
2017-03-14,en.wikipedia.org,1839405.0,1
2017-03-15,en.wikipedia.org,1752493.0,2
2017-03-16,en.wikipedia.org,1828980.0,3
2017-03-17,en.wikipedia.org,1786756.0,4
2017-03-18,en.wikipedia.org,1761139.0,5
2017-03-19,en.wikipedia.org,1637358.0,6
2017-03-20,en.wikipedia.org,2623297.0,0
2017-03-21,en.wikipedia.org,2493103.0,1
2017-03-22,en.wikipedia.org,1737231.0,2
2017-03-23,en.wikipedia.org,1687069.0,3
2017-03-24,en.wikipedia.org,1585945.0,4
2017-03-25,en.wikipedia.org,1301918.0,5
2017-03-26,en.wikipedia.org,1481455.0,6
2017-03-27,en.wikipedia.org,1721230.0,0
2017-03-28,en.wikipedia.org,1708259.0,1
2017-03-29,en.wikipedia.org,1650484.0,2
2017-03-30,en.wikipedia.org,1629976.0,3
2017-03-31,en.wikipedia.org,1529601.0,4
2017-04-01,en.wikipedia.org,1255665.0,5
2017-04-02,en.wikipedia.org,2790803.0,6
2017-04-03,en.wikipedia.org,2083521.0,0
2017-04-04,en.wikipedia.org,1634292.0,1
2017-04-05,en.wikipedia.org,1608814.0,2
2017-04-06,en.wikipedia.org,1657825.0,3
2017-04-07,en.wikipedia.org,1726815.0,4
2017-04-08,en.wikipedia.org,1629256.0,5
2017-04-09,en.wikipedia.org,1549483.0,6
2017-04-10,en.wikipedia.org,1622213.0,0
2017-04-11,en.wikipedia.org,1538444.0,1
2017-04-12,en.wikipedia.org,1473678.0,2
2017-04-13,en.wikipedia.org,1404135.0,3
2017-04-14,en.wikipedia.org,1246267.0,4
2017-04-15,en.wikipedia.org,1131088.0,5
2017-04-16,en.wikipedia.org,1154301.0,6
2017-04-17,en.wikipedia.org,1466229.0,0
2017-04-18,en.wikipedia.org,1576200.0,1
2017-04-19,en.wikipedia.org,1509022.0,2
2017-04-20,en.wikipedia.org,1511432.0,3
2017-04-21,en.wikipedia.org,1439534.0,4
2017-04-22,en.wikipedia.org,1160428.0,5
2017-04-23,en.wikipedia.org,1285051.0,6
2017-04-24,en.wikipedia.org,1619880.0,0
2017-04-25,en.wikipedia.org,1821950.0,1
2017-04-26,en.wikipedia.org,1568847.0,2
2017-04-27,en.wikipedia.org,1671044.0,3
2017-04-28,en.wikipedia.org,1452160.0,4
2017-04-29,en.wikipedia.org,1127598.0,5
2017-04-30,en.wikipedia.org,1175932.0,6
2017-05-01,en.wikipedia.org,1537139.0,0
2017-05-02,en.wikipedia.org,1609515.0,1
2017-05-03,en.wikipedia.org,1561911.0,2
2017-05-04,en.wikipedia.org,1532125.0,3
2017-05-05,en.wikipedia.org,1641115.0,4
2017-05-06,en.wikipedia.org,1471263.0,5
2017-05-07,en.wikipedia.org,1445405.0,6
2017-05-08,en.wikipedia.org,1650931.0,0
2017-05-09,en.wikipedia.org,1612218.0,1
2017-05-10,en.wikipedia.org,2607482.0,2
2017-05-11,en.wikipedia.org,3218873.0,3
2017-05-12,en.wikipedia.org,2760935.0,4
2017-05-13,en.wikipedia.org,1266213.0,5
2017-05-14,en.wikipedia.org,1136485.0,6
2017-05-15,en.wikipedia.org,1565701.0,0
2017-05-16,en.wikipedia.org,2197426.0,1
2017-05-17,en.wikipedia.org,1583692.0,2
2017-05-18,en.wikipedia.org,1567750.0,3
2017-05-19,en.wikipedia.org,1334889.0,4
2017-05-20,en.wikipedia.org,1182519.0,5
2017-05-21,en.wikipedia.org,1290868.0,6
2017-05-22,en.wikipedia.org,1609750.0,0
2017-05-23,en.wikipedia.org,1532639.0,1
2017-05-24,en.wikipedia.org,1516552.0,2
2017-05-25,en.wikipedia.org,1588373.0,3
2017-05-26,en.wikipedia.org,1478632.0,4
2017-05-27,en.wikipedia.org,1234991.0,5
2017-05-28,en.wikipedia.org,1288732.0,6
2017-05-29,en.wikipedia.org,1418013.0,0
2017-05-30,en.wikipedia.org,1551920.0,1
2017-05-31,en.wikipedia.org,3431391.0,2
2017-06-01,en.wikipedia.org,4451579.0,3
2017-06-02,en.wikipedia.org,1286664.0,4
2017-06-03,en.wikipedia.org,1108092.0,5
2017-06-04,en.wikipedia.org,1163531.0,6
2017-06-05,en.wikipedia.org,1522389.0,0
2017-06-06,en.wikipedia.org,1534646.0,1
2017-06-07,en.wikipedia.org,1648033.0,2
2017-06-08,en.wikipedia.org,1826774.0,3
2017-06-09,en.wikipedia.org,1964062.0,4
2017-06-10,en.wikipedia.org,1237146.0,5
2017-06-11,en.wikipedia.org,1116195.0,6
2017-06-12,en.wikipedia.org,1674218.0,0
2017-06-13,en.wikipedia.org,1552250.0,1
2017-06-14,en.wikipedia.org,1370409.0,2
2017-06-15,en.wikipedia.org,1524976.0,3
2017-06-16,en.wikipedia.org,1803460.0,4
2017-06-17,en.wikipedia.org,1148701.0,5
2017-06-18,en.wikipedia.org,1052660.0,6
2017-06-19,en.wikipedia.org,1363274.0,0
2017-06-20,en.wikipedia.org,1406565.0,1
2017-06-21,en.wikipedia.org,1514327.0,2
2017-06-22,en.wikipedia.org,1500187.0,3
2017-06-23,en.wikipedia.org,1624402.0,4
2017-06-24,en.wikipedia.org,1036921.0,5
2017-06-25,en.wikipedia.org,1071571.0,6
2017-06-26,en.wikipedia.org,1371419.0,0
2017-06-27,en.wikipedia.org,1330848.0,1
2017-06-28,en.wikipedia.org,1379388.0,2
2017-06-29,en.wikipedia.org,1931210.0,3
2017-06-30,en.wikipedia.org,1178047.0,4
2017-07-01,en.wikipedia.org,968637.0,5
2017-07-02,en.wikipedia.org,1066294.0,6
2017-07-03,en.wikipedia.org,1300277.0,0
2017-07-04,en.wikipedia.org,1439875.0,1
2017-07-05,en.wikipedia.org,1325051.0,2
2017-07-06,en.wikipedia.org,1287878.0,3
2017-07-07,en.wikipedia.org,1226152.0,4
2017-07-08,en.wikipedia.org,1054931.0,5
2017-07-09,en.wikipedia.org,1060550.0,6
2017-07-10,en.wikipedia.org,1331096.0,0
2017-07-11,en.wikipedia.org,1401664.0,1
2017-07-12,en.wikipedia.org,1281340.0,2
2017-07-13,en.wikipedia.org,1313290.0,3
2017-07-14,en.wikipedia.org,1241310.0,4
2017-07-15,en.wikipedia.org,1044177.0,5
2017-07-16,en.wikipedia.org,1084868.0,6
2017-07-17,en.wikipedia.org,1369470.0,0
2017-07-18,en.wikipedia.org,1370430.0,1
2017-07-19,en.wikipedia.org,1310059.0,2
2017-07-20,en.wikipedia.org,1272129.0,3
2017-07-21,en.wikipedia.org,1171790.0,4
2017-07-22,en.wikipedia.org,1045709.0,5
2017-07-23,en.wikipedia.org,1085436.0,6
2017-07-24,en.wikipedia.org,1372856.0,0
2017-07-25,en.wikipedia.org,1478807.0,1
2017-07-26,en.wikipedia.org,1354246.0,2
2017-07-27,en.wikipedia.org,1363227.0,3
2017-07-28,en.wikipedia.org,1253195.0,4
2017-07-29,en.wikipedia.org,1086574.0,5
2017-07-30,en.wikipedia.org,1141757.0,6
2017-07-31,en.wikipedia.org,1409107.0,0
2017-08-01,en.wikipedia.org,1288683.0,1
2017-08-02,en.wikipedia.org,1305549.0,2
2017-08-03,en.wikipedia.org,1356022.0,3
2017-08-04,en.wikipedia.org,1212373.0,4
2017-08-05,en.wikipedia.org,987942.0,5
2017-08-06,en.wikipedia.org,1125479.0,6
2017-08-07,en.wikipedia.org,1399678.0,0
2017-08-08,en.wikipedia.org,1690829.0,1
2017-08-09,en.wikipedia.org,3057212.0,2
2017-08-10,en.wikipedia.org,1472167.0,3
2017-08-11,en.wikipedia.org,1160196.0,4
2017-08-12,en.wikipedia.org,968251.0,5
2017-08-13,en.wikipedia.org,1016873.0,6
2017-08-14,en.wikipedia.org,1280237.0,0
2017-08-15,en.wikipedia.org,1335681.0,1
2017-08-16,en.wikipedia.org,1295134.0,2
2017-08-17,en.wikipedia.org,1279660.0,3
2017-08-18,en.wikipedia.org,1348560.0,4
2017-08-19,en.wikipedia.org,1123017.0,5
2017-08-20,en.wikipedia.org,1114309.0,6
2017-08-21,en.wikipedia.org,1428196.0,0
2017-08-22,en.wikipedia.org,1362522.0,1
2017-08-23,en.wikipedia.org,1356818.0,2
2017-08-24,en.wikipedia.org,1474175.0,3
2017-08-25,en.wikipedia.org,1348527.0,4
2017-08-26,en.wikipedia.org,1047127.0,5
2017-08-27,en.wikipedia.org,1085151.0,6
2017-08-28,en.wikipedia.org,1598423.0,0
2017-08-29,en.wikipedia.org,1616413.0,1
2017-08-30,en.wikipedia.org,1624046.0,2
2017-08-31,en.wikipedia.org,1542026.0,3
2017-09-01,en.wikipedia.org,1436289.0,4
2017-09-02,en.wikipedia.org,1244345.0,5
2017-09-03,en.wikipedia.org,1323665.0,6
2017-09-04,en.wikipedia.org,1491455.0,0
2017-09-05,en.wikipedia.org,1633089.0,1
2017-09-06,en.wikipedia.org,1661313.0,2
2017-09-07,en.wikipedia.org,1411528.0,3
2017-09-08,en.wikipedia.org,1184336.0,4
2017-09-09,en.wikipedia.org,967978.0,5
2017-09-10,en.wikipedia.org,1076061.0,6
